e_issn,journal_title,license,publisher
1178-1998,Clinical Interventions in Aging,"CC BY, CC BY-NC",Dove Medical Press
1178-2005,International Journal of COPD (International Journal of Chronic Obstructive Pulmonary Disease),"CC BY, CC BY-NC",Dove Medical Press
1178-2013,International Journal of Nanomedicine,"CC BY, CC BY-NC",Dove Medical Press
1178-2021,Neuropsychiatric Disease and Treatment,"CC BY, CC BY-NC",Dove Medical Press
1178-203X,Therapeutics and Clinical Risk Management,"CC BY, CC BY-NC",Dove Medical Press
1178-2048,Vascular Health and Risk Management,"CC BY, CC BY-NC",Dove Medical Press
1178-2218,Substance Abuse: Research and Treatment,"CC BY, CC BY-NC",SAGE Publishing
1178-2234,Breast Cancer: Basic and Clinical Research,"CC BY, CC BY-NC",SAGE Publishing
1178-2242,Palliative Care (Palliative Care: Research and Treatment),"CC BY, CC BY-NC",SAGE Publishing
1178-2390,Journal of Multidisciplinary Healthcare,"CC BY, CC BY-NC",Dove Medical Press
1178-6221,"Air, Soil and Water Research","CC BY, CC BY-NC",SAGE Publishing
1178-6302,Environmental Health Insights,"CC BY, CC BY-NC",SAGE Publishing
1178-6329,Health Services Insights,"CC BY, CC BY-NC",SAGE Publishing
1178-6388,Nutrition and Metabolic Insights,"CC BY, CC BY-NC",SAGE Publishing
1178-6930,OncoTargets and Therapy,"CC BY, CC BY-NC",Dove Medical Press
1178-6949,Advances and Applications in Bioinformatics and Chemistry,"CC BY, CC BY-NC",Dove Medical Press
1178-6957,Stem Cells and Cloning: Advances and Applications,"CC BY, CC BY-NC",Dove Medical Press
1178-6965,Journal of Asthma and Allergy,"CC BY, CC BY-NC",Dove Medical Press
1178-6973,Infection and Drug Resistance,"CC BY, CC BY-NC",Dove Medical Press
1178-6981,ClinicoEconomics and Outcomes Research,"CC BY, CC BY-NC",Dove Medical Press
1178-7007,"Diabetes, Metabolic Syndrome and Obesity","CC BY, CC BY-NC",Dove Medical Press
1178-7015,"Clinical, Cosmetic and Investigational Dermatology","CC BY, CC BY-NC",Dove Medical Press
1178-7023,Clinical and Experimental Gastroenterology,"CC BY, CC BY-NC",Dove Medical Press
1178-7031,Journal of Inflammation Research,"CC BY, CC BY-NC",Dove Medical Press
1178-704X,The Application of Clinical Genetics,"CC BY, CC BY-NC",Dove Medical Press
1178-7058,International Journal of Nephrology and Renovascular Disease,"CC BY, CC BY-NC",Dove Medical Press
1178-7066,Pharmacogenomics and Personalized Medicine,"CC BY, CC BY-NC",Dove Medical Press
1178-7074,International Journal of General Medicine,"CC BY, CC BY-NC",Dove Medical Press
1178-7082,Open Access Surgery,"CC BY, CC BY-NC",Dove Medical Press
1178-7090,Journal of Pain Research,"CC BY, CC BY-NC",Dove Medical Press
1178-7104,Integrated Blood Pressure Control,"CC BY, CC BY-NC",Dove Medical Press
1178-7112,Local and Regional Anesthesia (Local & Regional Anesthesia),"CC BY, CC BY-NC",Dove Medical Press
1178-8704,"Journal of Educational Leadership, Policy and Practice",CC BY-NC-ND,Sciendo
1179-0695,Journal of Experimental Neuroscience,"CC BY, CC BY-NC",SAGE Publishing
1179-0776,International Journal of Construction Supply Chain Management,CC BY-NC-ND,Massey University
1179-1314,Breast Cancer: Targets and Therapy (Breast Cancer: Targets & Therapy),"CC BY, CC BY-NC",Dove Medical Press
1179-1322,Cancer Management and Research,"CC BY, CC BY-NC",Dove Medical Press
1179-1349,Clinical Epidemiology,"CC BY, CC BY-NC",Dove Medical Press
1179-1357,"Clinical, Cosmetic and Investigational Dentistry","CC BY, CC BY-NC",Dove Medical Press
1179-1365,"Drug, Healthcare and Patient Safety","CC BY, CC BY-NC",Dove Medical Press
1179-1373,HIV/AIDS: Research and Palliative Care,"CC BY, CC BY-NC",Dove Medical Press
1179-1411,International Journal of Women's Health,"CC BY, CC BY-NC",Dove Medical Press
1179-142X,International Medical Case Reports Journal,"CC BY, CC BY-NC",Dove Medical Press
1179-1438,Clinical Pharmacology: Advances and Applications,"CC BY, CC BY-NC",Dove Medical Press
1179-1454,Journal of Experimental Pharmacology,"CC BY, CC BY-NC",Dove Medical Press
1179-1462,Orthopedic Research and Reviews,"CC BY, CC BY-NC",Dove Medical Press
1179-1470,Medical Devices: Evidence and Research,"CC BY, CC BY-NC",Dove Medical Press
1179-1489,Nutrition and Dietary Supplements (Nutrition & Dietary Supplements),"CC BY, CC BY-NC",Dove Medical Press
1179-1500,Open Access Emergency Medicine,"CC BY, CC BY-NC",Dove Medical Press
1179-1519,Open Access Journal of Clinical Trials,"CC BY, CC BY-NC",Dove Medical Press
1179-1527,Open Access Journal of Contraception,"CC BY, CC BY-NC",Dove Medical Press
1179-1535,Hepatic Medicine: Evidence and Research (Hepatic Medicine: Evidence & Research),"CC BY, CC BY-NC",Dove Medical Press
1179-1543,Open Access Journal of Sports Medicine,"CC BY, CC BY-NC",Dove Medical Press
1179-156X,Open Access Rheumatology: Research and Reviews,"CC BY, CC BY-NC",Dove Medical Press
1179-1578,Psychology Research and Behavior Management,"CC BY, CC BY-NC",Dove Medical Press
1179-1594,Risk Management and Healthcare Policy,"CC BY, CC BY-NC",Dove Medical Press
1179-1608,Nature and Science of Sleep (Nature & Science of Sleep),"CC BY, CC BY-NC",Dove Medical Press
1179-1616,Transplant Research and Risk Management (Transplant Research & Risk Management),"CC BY, CC BY-NC",Dove Medical Press
1179-1721,Ophthalmology and Eye Diseases,"CC BY, CC BY-NC",SAGE Publishing
1179-173X,Tobacco Use Insights,"CC BY, CC BY-NC",SAGE Publishing
1179-2698,Pathology and Laboratory Medicine International,"CC BY, CC BY-NC",Dove Medical Press
1179-271X,Patient Related Outcome Measures,"CC BY, CC BY-NC",Dove Medical Press
1179-2728,Lung Cancer: Targets and Therapy (Lung Cancer: Targets & Therapy),"CC BY, CC BY-NC",Dove Medical Press
1179-2736,Journal of Blood Medicine,"CC BY, CC BY-NC",Dove Medical Press
1179-2744,Eye and Brain (Eye & Brain),"CC BY, CC BY-NC",Dove Medical Press
1179-2752,Clinical Optometry,"CC BY, CC BY-NC",Dove Medical Press
1179-318X,"Adolescent Health, Medicine and Therapeutics (Adolescent Health, Medicine & Therapeutics)","CC BY, CC BY-NC",Dove Medical Press
1179-3201,Journal of Healthcare Leadership,"CC BY, CC BY-NC",Dove Medical Press
1179-3597,New Zealand Medical Student Journal,CC BY-NC,New Zealand Medical Student Journal Society
1179-4984,New Zealand Journal of Mathematics,CC BY,New Zealand Mathematical Society & University of Auckland
1179-5395,New Zealand Journal of Forestry Science (NZJFS),CC BY,Scion
1179-545X,Clinical Medicine Insights: Blood Disorders,"CC BY, CC BY-NC",SAGE Publishing
1179-5468,Clinical Medicine Insights: Cardiology,"CC BY, CC BY-NC",SAGE Publishing
1179-5476,Clinical Medicine Insights: Case Reports,"CC BY, CC BY-NC",SAGE Publishing
1179-5484,"Clinical Medicine Insights: Circulatory, Respiratory and Pulmonary Medicine","CC BY, CC BY-NC",SAGE Publishing
1179-5514,Clinical Medicine Insights: Endocrinology and Diabetes,"CC BY, CC BY-NC",SAGE Publishing
1179-5522,Clinical Medicine Insights: Gastroenterology,"CC BY, CC BY-NC",SAGE Publishing
1179-5549,Clinical Medicine Insights: Oncology,"CC BY, CC BY-NC",SAGE Publishing
1179-5557,Clinical Medicine Insights: Pathology,"CC BY, CC BY-NC",SAGE Publishing
1179-5581,Clinical Medicine Insights: Reproductive Health,"CC BY, CC BY-NC",SAGE Publishing
1179-5727,Rehabilitation Process and Outcome,"CC BY, CC BY-NC",SAGE Publishing
1179-5735,Journal of Central Nervous System Disease,"CC BY, CC BY-NC",SAGE Publishing
1179-5972,Biomedical Engineering and Computational Biology,"CC BY, CC BY-NC",SAGE Publishing
1179-6901,Drugs in R&D (Drugs in Research & Development),CC BY-NC,"Adis, Springer Healthcare"
1179-7258,Advances in Medical Education and Practice,"CC BY, CC BY-NC",Dove Medical Press
1179-7266,Pragmatic and Observational Research,"CC BY, CC BY-NC",Dove Medical Press
1179-7282,Research and Reports in Tropical Medicine,"CC BY, CC BY-NC",Dove Medical Press
1179-7673,"Journal of Open, Flexible and Distance Learning (JOFDL)",CC BY-NC-ND,Flexible Learning Association of New Zealand
1179-8467,Substance Abuse and Rehabilitation (Substance Abuse & Rehabilitation),"CC BY, CC BY-NC",Dove Medical Press
1179-8475,Research Reports in Clinical Cardiology,"CC BY, CC BY-NC",Dove Medical Press
1179-8602,International Journal of Wellbeing (IJW),CC BY-NC-ND,International Journal of Wellbeing
1179-9889,Blood and Lymphatic Cancer: Targets and Therapy,"CC BY, CC BY-NC",Dove Medical Press
1179-9927,"Pediatric Health, Medicine and Therapeutics (Pediatric Health, Medicine & Therapeutics)","CC BY, CC BY-NC",Dove Medical Press
1179-9935,Research and Reports in Neonatology (Research & Reports in Neonatology),"CC BY, CC BY-NC",Dove Medical Press
1203-1542,Journal of Hebrew Scriptures,CC BY,University of Alberta Library
1205-6545,Zeitschrift für Interkulturellen Fremdsprachenunterricht (ZIF),CC BY,Universitäts- und Landesbibliothek Darmstadt
1211-0442,E-Logos (Electronic Journal for Philosophy),CC BY-NC,"University of Economics, Prague"
1212-5059,Archivum Mathematicum,CC BY-NC-ND,Masarykova Universita
1212-9097,Profil (Pro-Fil: An Internet Journal of Philosophy),CC BY-NC-ND,"Masaryk University, Faculty of Arts"
1213-3809,Paidagogos (Journal of Education in Contexts),CC BY-NC-ND,"Paidagogos - Society For Philosophy, Theory and Praxis of Education"
1213-8312,Acta Universitatis Palackianae Olomucensis. Gymnica,CC BY,Palacky University
1214-0287,Journal of Applied Biomedicine,CC BY-NC-ND,"University of South Bohemia in Ceske Budejovice, Faculty of Health and Social Sciences"
1278-3366,Cybergeo (Cybergeo: European Journal of Geography),CC BY,Unité Mixte de Recherche  8504 Géographie-cités
1286-4692,M@n@gement (Management),CC BY-NC,Association International de Management Stratégique (AIMS)
1286-4986,ALSIC: Apprentissage des Langues et Systèmes d'Information et de Communication,CC BY-NC-ND,Université Marc Bloch
1297-966X,Annals of Forest Science,CC BY,BMC
1297-9686,Genetics Selection Evolution,CC BY,BMC
1297-9716,Veterinary Research,"CC BY, CC0",BMC
1303-829X,Türk Biyokimya Dergisi (Turkish Journal of Biochemistry),CC BY,De Gruyter
1304-7205,Sigma Journal of Engineering and Natural Sciences,CC BY-NC,Yıldız Technical University
1304-7981,Journal of New Results in Science,CC BY-NC,Tokat Gaziosmanpasa University
1304-9399,Cumhuriyet Üniversitesi İlahiyat Fakültesi Dergisi (Cumhuriyet University Journal of Faculty of Theology),CC BY-NC-ND,Cumhuriyet Üniversitesi
1305-2128,Coğrafya Dergisi (Journal of Geography),CC BY-NC,Istanbul University Press
1305-3124,Perinatal Journal,CC BY-NC-ND,Perinatal Medicine Foundation
1305-3612,Diagnostic and Interventional Radiology,CC BY-NC,Galenos Publishing House
1305-6441,İstanbul Tıp Fakültesi Dergisi (Journal of Istanbul Faculty of Medicine),CC BY-NC,Istanbul University Press
1306-7575,Süleyman Demirel Üniversitesi Fen-Edebiyat Fakültesi Fen Dergisi,CC BY-NC-ND,Suleyman Demirel University
1307-4474,Ege Eğitim Dergisi (Ege Journal of Education),CC BY-NC-ND,Ege University
1307-671X,Düzce Tıp Fakültesi Dergisi (Duzce Medical Journal),CC BY-NC-ND,Duzce University
1307-9298,International Electronic Journal of Elementary Education (IEJEE),CC BY,Kura Publishing
1308-0830,Mersin Üniversitesi Sağlık Bilimleri Dergisi (Mersin University Journal of Medical Science),CC BY-NC,Mersin University
1308-0911,Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi (Dokuz Eylul University The Journal of Graduate School of Social Sciences),CC BY,Dokuz Eylul University
1308-5263,Turkish Journal of Hematology,CC BY-NC-ND,Galenos Publishing House
1308-5735,JCRPE (Journal of Clinical Research in Pediatric Endocrinology),CC BY-NC-ND,Galenos Yayincilik
1308-5816,Yaşlı Sorunları Araştırma Dergisi (Elderly Issues Research Journal),CC BY,Yaşlı Sorunları Araştırma Derneği
1308-7584,Yüzüncü Yil Üniversitesi Tarim Bilimleri Dergisi (Yuzuncu Yil University Journal of Agricultural Sciences),CC BY,Yuzuncu Yil University Faculty of Agriculture
1308-8491,Çocuk Dergisi (Journal of Child),CC BY-NC,Istanbul University Press
1308-8505,İzmir İktisat Dergisi (Izmir Journal of Economics),CC BY-NC,Dokuz Eylül University
1308-8742,Eurasian Journal of Medicine,CC BY,Atatürk University
1308-8815,International Econometric Review,CC BY-NC-ND,Econometric Research Association
1308-9552,Sdü Vizyoner Dergisi (Süleyman Demirel Üniversitesi Vizyoner Dergisi),CC BY,Süleyman Demirel Üniversitesi
1308-9765,Coğrafi Bilimler Dergisi (Turkish Journal of Geographical Sciences),CC BY-NC-ND,Ankara University
1308-9846,Turkish Journal of Endocrinology and Metabolism,CC BY-NC-SA,AVES
1309-0356,Pamukkale Spor Bilimleri Dergisi (Pamukkale Journal of Sport Sciences),CC BY,Pamukkale University
1309-0593,Alternatif Politika (Alternative Politics),CC BY-NC-ND,Abant İzzet Baysal University
1309-0674,Psikiyatride Güncel Yaklaşımlar (Current Approaches in Psychiatry),CC BY-NC-ND,Psikiyatride Güncel Yaklaşımlar
1309-1387,Mehmet Akif Ersoy Üniversitesi Sosyal Bilimler Enstitüsü Dergisi (Mehmet Akif Ersoy University Journal of Social Sciences Institute),CC BY-NC,Mehmet Akif Ersoy University
1309-1581,Online Academic Journal of Information Technology (Bilişim Teknolojileri Online Dergisi),CC BY-SA,Akademik Bilişim Araştırmaları Derneği
1309-2057,Ankara Üniversitesi İlahiyat Fakültesi Dergisi (AUIFD),CC BY-NC,Ankara University
1309-2243,Mehmet Akif Ersoy Üniversitesi Fen Bilimleri Enstitüsü (Journal of Graduate School of Natural and Applied Sciences of Mehmet Akif Ersoy University),CC BY,Burdur Mehmet Akif Ersoy University
1309-2251,Kafkas Universitesi Veteriner Fakültesi Dergisi,CC BY-NC,"Kafkas University, Faculty of Veterinary Medicine"
1309-2545,Türk Nöroloji Dergisi (Turkish Journal of Neurology),CC BY-NC-ND,Galenos Yayinevi
1309-4173,History Studies (History Studies: International Journal of History),CC BY-NC,Osman Köse
1309-4181,Kastamonu Üniversitesi Orman Fakültesi Dergisi (Kastamonu University Journal of Forestry Faculty),CC BY-NC,Kastamonu University
1309-5730,Türk Patoloji Dergisi (Turkish Journal of Pathology),CC BY,Federation of Turkish Pathology Societies
1309-6915,Megaron,CC BY-NC-ND,KARE Publishing
1309-8004,Lokman Hekim Dergisi (Mersin Üniversitesi Tıp Fakültesi Lokman Hekim Dergisi),CC BY-NC,Mersin University
1312-451X,Bioautomation,CC BY-NC-ND,Academic Publishing House
1312-773X,Journal of IMAB,CC BY-SA,Peytchinski Publishing
1313-2970,ZooKeys,CC BY,Pensoft Publishers
1313-3543,Bulgarian Journal of Veterinary Medicine (BJVM),CC BY-NC-ND,"Faculty of Veterinary Medicine, Trakia University, Stara Zagora, Bulgaria"
1313-3551,Trakia Journal of Sciences,CC BY-NC,Trakia University
1313-9118,Bulgarian Journal of Science and Education Policy (BJSEP),CC BY-NC-ND,University of Sofia
1313-9916,ZooNotes,CC BY-NC-ND,Plovdiv University
1314-0256,"Venec (Venets: The Belogradchik Journal for Local History, Cultural Heritage and Folk Studies)",CC BY-NC-ND,SCS Consulting Ltd.
1314-0817,European Journal of Tourism Research,CC BY,Varna University of Management
1314-2003,PhytoKeys,CC BY,Pensoft Publishers
1314-2143,Folia Medica,CC BY-NC,Pensoft Publishers
1314-2321,International Journal Bioautomation,CC BY-NC-ND,Bulgarian Academy of Sciences
1314-2488,NeoBiota,CC BY,Pensoft Publishers
1314-2607,Journal of Hymenoptera Research (JHR),CC BY,Pensoft Publishers
1314-2615,Subterranean Biology,CC BY,Pensoft Publishers
1314-2828,Biodiversity Data Journal,CC BY,Pensoft Publishers
1314-3301,Nature Conservation,CC BY,Pensoft Publishers
1314-3530,Biotechnology & Biotechnological Equipment,"CC BY, CC BY-NC",Taylor & Francis Group
1314-3700,Проблеми на постмодерността (Postmodernism Problems),CC BY-NC-ND,"South-West University ""Neofit Rilski"", Department of Sociology, Academic seminar ""Media and Education"""
1314-4049,MycoKeys,CC BY,Pensoft Publishers
1314-4081,Cybernetics and Information Technologies,CC BY-NC-ND,Sciendo
1314-412X,Agricultural Science and Technology,CC BY-NC-ND,"Trakia University. Faculty of Agriculture, Stara Zagora"
1314-4464,Реторика и комуникации (Rhetoric and Communications Journal),CC BY-NC-SA,Institute of Rhetoric and Communications
1314-5088,Българско е-Списание за Археология (Bulgarian e-Journal of Archaeology),CC BY-NC-ND,Association of Bulgarian Archaeologists
1314-6246,Journal of BioScience and Biotechnology,CC BY-NC-ND,Plovdiv University Press
1314-7218,Biomath,CC BY,"Bulgarian Academy of Sciences, Institute of Mathematics and Informatics"
1314-7374,Quanta,CC BY,Quanta
1314-7986,Педагогически форум (Pedagogical Forum),CC BY,Trakia University
1326-2238,Australasian Journal of Information Systems (AJIS),CC BY-NC,Australasian Association for Information Systems
1332-8166,Croatian Medical Journal,CC BY-NC-ND,"Medicinska naklada, Zagreb"
1332-9049,Journal of Central European Agriculture (JCEA),CC BY-ND,"University of Zagreb, Faculty of Agriculture"
1333-4875,Geologia Croatica,CC BY,Croatian Geological Survey
1333-9095,Građevinar (Civil Engineer),CC BY,Croatian Association of Civil Engineers
1333-9117,Prostor,CC BY,"Faculty of Architecture, University of Zagreb"
1333-9451,Acta Clinica Croatica,CC BY-NC-ND,"Sestre Milosrdnice University hospital, Institute of Clinical Medical Research"
1334-2576,Metalurgija (Metallurgy),CC BY,Croatian Metallurgical Society
1334-2606,Food Technology and Biotechnology,CC BY,University of Zagreb Faculty of Food Technology and Biotechnology
1334-417X,Croatica Chemica Acta,CC BY,Croatian Chemical Society
1334-4676,Interdisciplinary Description of Complex Systems,CC BY,Croatian Interdisciplinary Society
1334-6253,Acta Medico-Historica Adriatica,CC BY,Croatian scientific society for the history of health culture
1334-9090,Kemija u Industriji,CC BY,Croatian Society of Chemical Engineers
